item_id,category,tags,description
activity_0,Mindfulness,"stress relief, calm",Mindfulness activity focused on stress relief and calm.
activity_1,Cardio,"HIIT, aerobic",Cardio activity focused on HIIT and aerobic.
activity_2,Mindfulness,"calm, awareness",Mindfulness activity focused on calm and awareness.
activity_3,Mindfulness,"stress relief, awareness",Mindfulness activity focused on stress relief and awareness.
activity_4,Nutrition,"diet, healthy eating",Nutrition activity focused on diet and healthy eating.
activity_5,Nutrition,"diet, meal plan",Nutrition activity focused on diet and meal plan.
activity_6,Meditation,"mind, relax",Meditation activity focused on mind and relax.
activity_7,Strength,"muscle, training",Strength activity focused on muscle and training.
activity_8,Meditation,"mind, relax",Meditation activity focused on mind and relax.
activity_9,Nutrition,"healthy eating, meal plan",Nutrition activity focused on healthy eating and meal plan.
activity_10,Cardio,"HIIT, endurance",Cardio activity focused on HIIT and endurance.
activity_11,Strength,"weights, muscle",Strength activity focused on weights and muscle.
activity_12,Sleep,"rest, sleep hygiene",Sleep activity focused on rest and sleep hygiene.
activity_13,Cardio,"endurance, HIIT",Cardio activity focused on endurance and HIIT.
activity_14,Yoga,"breathing, flexibility",Yoga activity focused on breathing and flexibility.
activity_15,Cardio,"HIIT, endurance",Cardio activity focused on HIIT and endurance.
activity_16,Yoga,"flexibility, breathing",Yoga activity focused on flexibility and breathing.
activity_17,Meditation,"relax, focus",Meditation activity focused on relax and focus.
activity_18,Sleep,"rest, relaxation",Sleep activity focused on rest and relaxation.
activity_19,Yoga,"balance, flexibility",Yoga activity focused on balance and flexibility.
activity_20,Strength,"weights, muscle",Strength activity focused on weights and muscle.
activity_21,Mindfulness,"calm, stress relief",Mindfulness activity focused on calm and stress relief.
activity_22,Mindfulness,"awareness, stress relief",Mindfulness activity focused on awareness and stress relief.
activity_23,Yoga,"flexibility, balance",Yoga activity focused on flexibility and balance.
activity_24,Meditation,"mind, relax",Meditation activity focused on mind and relax.
activity_25,Sleep,"rest, relaxation",Sleep activity focused on rest and relaxation.
activity_26,Meditation,"relax, mind",Meditation activity focused on relax and mind.
activity_27,Mindfulness,"awareness, calm",Mindfulness activity focused on awareness and calm.
activity_28,Meditation,"mind, relax",Meditation activity focused on mind and relax.
